Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   8530.00  607533.00   1154.00   1075.00        1.00               0.89        1.00   0.00   0.11         0.88       0.79  0.88
Developed               7622.00  594570.00   4923.00  11177.00        0.97               0.41        0.99   0.01   0.59         0.61       0.32  0.49
BarrenLand               965.00  615664.00    427.00   1236.00        1.00               0.44        1.00   0.00   0.56         0.69       0.37  0.54
Forest                 80107.00  513537.00  14450.00  10198.00        0.96               0.89        0.97   0.03   0.11         0.85       0.76  0.87
Shrub/Scrub            80946.00  473259.00  30736.00  33351.00        0.90               0.71        0.94   0.06   0.29         0.72       0.56  0.72
Grassland/Herbaceous  153244.00  385939.00  43946.00  35163.00        0.87               0.81        0.90   0.10   0.19         0.78       0.66  0.79
Croplands             155247.00  421330.00  23229.00  18486.00        0.93               0.89        0.95   0.05   0.11         0.87       0.79  0.88
EmergentWetlands        6594.00  598143.00   4346.00   9209.00        0.98               0.42        0.99   0.01   0.58         0.60       0.33  0.49
LeafySpurge             1219.00  612543.00    607.00   3923.00        0.99               0.24        1.00   0.00   0.76         0.67       0.21  0.35
