Class Name                   TP         TN        FP        FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F1
--------------------  ---------  ---------  --------  --------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Water                   7887.00  608198.00    489.00   1718.00        1.00               0.82        1.00   0.00   0.18         0.94       0.78  0.88
Developed               9371.00  587294.00  12199.00   9428.00        0.97               0.50        0.98   0.02   0.50         0.43       0.30  0.46
BarrenLand              1163.00  615098.00    993.00   1038.00        1.00               0.53        1.00   0.00   0.47         0.54       0.36  0.53
Forest                 75579.00  515889.00  12098.00  14726.00        0.96               0.84        0.98   0.02   0.16         0.86       0.74  0.85
Shrub/Scrub            75403.00  469804.00  34191.00  38894.00        0.88               0.66        0.93   0.07   0.34         0.69       0.51  0.67
Grassland/Herbaceous  127129.00  402742.00  27143.00  61278.00        0.86               0.67        0.94   0.06   0.33         0.82       0.59  0.74
Croplands             137894.00  432423.00  12136.00  35839.00        0.92               0.79        0.97   0.03   0.21         0.92       0.74  0.85
EmergentWetlands       11934.00  571539.00  30950.00   3869.00        0.94               0.76        0.95   0.05   0.24         0.28       0.26  0.41
LeafySpurge             4322.00  575741.00  37409.00    820.00        0.94               0.84        0.94   0.06   0.16         0.10       0.10  0.18
