                              Class Name        TP        TN       FP       FN    Accuracy    TPR/Sens/Recall    TNR/Spec    FPR    FNR    Precision    Jaccard    F0.5
--------------------------  ------------  --------  --------  -------  -------  ----------  -----------------  ----------  -----  -----  -----------  ---------  ----
Open Water                       3768.00   3506.00  65256.00   376.00   262.00        0.99               0.93        0.99   0.01   0.07         0.90       0.85  0.92
Developed Open Space             1835.00    714.00  64477.00  3088.00  1121.00        0.94               0.39        0.95   0.05   0.61         0.19       0.15  0.32
Developed Low Intensity          1141.00    414.00  67086.00  1173.00   727.00        0.97               0.36        0.98   0.02   0.64         0.26       0.18  0.34
Developed Medium Intensity        552.00    260.00  68282.00   566.00   292.00        0.99               0.47        0.99   0.01   0.53         0.31       0.23  0.43
Developed High Intensity          175.00    119.00  69010.00   215.00    56.00        1.00               0.68        1.00   0.00   0.32         0.36       0.31  0.58
Barren Land                       127.00     89.00  68848.00   425.00    38.00        0.99               0.70        0.99   0.01   0.30         0.17       0.16  0.44
Deciduous Forest                 7741.00   4927.00  59499.00  2160.00  2814.00        0.93               0.64        0.96   0.04   0.36         0.70       0.50  0.65
Evergreen Forest                 1576.00   1136.00  66094.00  1730.00   440.00        0.97               0.72        0.97   0.03   0.28         0.40       0.34  0.62
Mixed Forest                     3394.00   1786.00  63872.00  2134.00  1608.00        0.95               0.53        0.97   0.03   0.47         0.46       0.32  0.51
Shrub/Scrub                       572.00    332.00  67208.00  1620.00   240.00        0.97               0.58        0.98   0.02   0.42         0.17       0.15  0.39
Grassland/Herbaceous              848.00    331.00  66787.00  1765.00   517.00        0.97               0.39        0.97   0.03   0.61         0.16       0.13  0.30
Pasture/Hay                      4033.00   1955.00  62555.00  2812.00  2078.00        0.93               0.48        0.96   0.04   0.52         0.41       0.29  0.47
Cultivated Crops                26734.00  20135.00  42113.00   553.00  6599.00        0.90               0.75        0.99   0.01   0.25         0.97       0.74  0.79
Woody Wetlands                  10820.00   5580.00  57257.00  1323.00  5240.00        0.91               0.52        0.98   0.02   0.48         0.81       0.46  0.56
Emerg. Herb. Wetlands            5749.00   3547.00  61081.00  2570.00  2202.00        0.93               0.62        0.96   0.04   0.38         0.58       0.43  0.61
Leafy Spurge                      335.00    217.00  67223.00  1842.00   118.00        0.97               0.65        0.97   0.03   0.35         0.11       0.10  0.32
