ID,Source,Latitude,Longitude,Year,LandCoverValue,0_BlueMarchApril,0_GreenMarchApril,0_RedMarchApril,0_NIRMarchApril,0_SWIR1MarchApril,0_SWIR2MarchApril,0_NDVIMarchApril,0_BlueMayJune,0_GreenMayJune,0_RedMayJune,0_NIRMayJune,0_SWIR1MayJune,0_SWIR2MayJune,0_NDVIMayJune,0_BlueJulyAug,0_GreenJulyAug,0_RedJulyAug,0_NIRJulyAug,0_SWIR1JulyAug,0_SWIR2JulyAug,0_NDVIJulyAug,1_BlueMarchApril,1_GreenMarchApril,1_RedMarchApril,1_NIRMarchApril,1_SWIR1MarchApril,1_SWIR2MarchApril,1_NDVIMarchApril,1_BlueMayJune,1_GreenMayJune,1_RedMayJune,1_NIRMayJune,1_SWIR1MayJune,1_SWIR2MayJune,1_NDVIMayJune,1_BlueJulyAug,1_GreenJulyAug,1_RedJulyAug,1_NIRJulyAug,1_SWIR1JulyAug,1_SWIR2JulyAug,1_NDVIJulyAug,2_BlueMarchApril,2_GreenMarchApril,2_RedMarchApril,2_NIRMarchApril,2_SWIR1MarchApril,2_SWIR2MarchApril,2_NDVIMarchApril,2_BlueMayJune,2_GreenMayJune,2_RedMayJune,2_NIRMayJune,2_SWIR1MayJune,2_SWIR2MayJune,2_NDVIMayJune,2_BlueJulyAug,2_GreenJulyAug,2_RedJulyAug,2_NIRJulyAug,2_SWIR1JulyAug,2_SWIR2JulyAug,2_NDVIJulyAug
40,EddMaps,45.09622,-96.42967,2019,99,685,910,1084,1530,2985,2658,1705,642,809,924,1873,2962,2499,3044,241,578,345,5030,1838,735,8715,636,933,1185,1834,2906,2491,2148,714,910,1146,1834,3440,3098,2309,225,420,295,4310,1555,616,8714,856,1220,1507,2186,3178,2536,1833,776,1079,1371,2262,3702,3071,2432,339,541,404,3921,1990,960,8066
158,EddMaps,45.14995,-96.02105,2018,99,824,1006,1212,1571,1692,1099,1288,377,533,655,1501,1284,803,2933,218,566,314,2838,1248,555,8005,806,1025,1300,1888,2110,1349,2057,554,831,985,2239,2252,1422,3875,332,735,635,2779,1512,840,6368,598,810,1036,1549,1603,980,2106,485,749,908,1942,2108,1329,3622,289,560,491,2499,1485,733,6774
5185,Land Cover,45.25086572,-96.30776113,2019,11,785,1048,1314,1719,2243,1466,1336,309,417,410,1429,1317,1044,4225,243,711,326,3883,1701,735,8449,0,0,0,0,0,0,0,727,1026,1110,2758,2618,1705,3955,281,612,437,3367,1755,799,7598,878,1245,1565,2047,2715,1682,1334,385,720,635,3184,2259,1184,6671,243,533,374,3510,1818,763,7766
5231,Land Cover,45.23833639,-96.05989276,2019,11,1050,1086,783,289,253,300,-4818,271,397,330,293,308,274,-851,182,355,161,676,114,78,5872,70,164,119,121,181,149,79,177,260,184,181,148,124,-233,163,286,134,215,51,38,2197,220,315,204,119,150,111,-2765,421,560,482,617,554,422,1043,179,327,200,281,148,118,1492
2407,Land Cover,45.49337726,-96.47290513,2019,21,774,931,1162,1615,2675,2167,1632,594,703,638,2028,1857,1524,5798,287,719,478,3388,1706,874,7524,0,0,0,0,0,0,0,589,829,1016,1941,2794,2195,3128,327,572,459,3159,1999,1170,7445,946,1101,1304,1663,2290,1871,1386,502,718,753,1890,2490,2049,4298,292,499,362,3322,1583,750,7814
3819,Land Cover,45.31085987,-96.15835416,2019,21,872,1124,1484,2054,3154,2389,1609,659,1001,1226,2347,2958,2124,3129,326,765,511,3968,2097,1016,7715,1846,2150,2435,2852,2597,2044,1099,582,913,965,2920,2595,1759,4950,366,666,545,3410,2026,1027,7267,1031,1431,1831,2883,3707,2696,2242,572,915,995,3255,2641,1706,5306,418,696,589,3641,2299,1112,7233
22682,Land Cover,45.59035506,-96.57324952,2019,22,628,904,1149,1678,2468,1999,1904,698,1008,1217,2125,3117,2466,2714,415,742,637,3230,2202,1306,7022,605,867,1085,1632,2086,1659,2013,594,852,995,1973,2564,2088,3270,361,634,543,3176,1902,1035,7077,893,1317,1580,1979,2148,1769,1096,611,895,1067,2218,2823,2165,3591,334,612,522,2799,1757,1043,6602
34531,Land Cover,44.99750735,-96.30990122,2019,22,854,1135,1409,1908,3231,2696,1502,601,982,1070,2468,3004,2223,3997,454,848,708,3962,2504,1580,6966,727,1148,1439,2165,3008,2430,2040,590,913,1056,2345,2824,2222,3784,510,896,940,3543,2748,1829,5799,913,1340,1672,2417,3048,2451,1848,720,1104,1321,2745,3375,2681,3719,541,886,941,3322,2886,1803,5354
6564,Land Cover,46.41607215,-95.36927856,2019,23,671,1029,1352,2429,3057,2121,2846,607,843,931,2302,2252,1414,4200,332,684,535,2983,2105,1096,6959,787,1123,1382,2725,2941,2060,3318,686,993,1170,3006,3187,1971,4461,346,608,598,2849,2294,1321,6477,790,1069,1331,2651,2979,1950,3265,530,903,967,3543,2656,1492,5913,302,647,622,3115,2289,1232,6523
7982,Land Cover,46.09322889,-95.38930681,2019,23,815,1046,1357,1935,2693,1896,1755,634,934,1169,2301,2955,1935,3243,397,695,605,2916,2055,1093,6577,552,876,1185,2100,2592,1883,2785,642,919,1029,2613,2720,1715,3541,347,633,580,2867,2072,1138,6549,840,1106,1424,2367,3128,2135,2489,533,888,966,2771,2667,1585,4808,375,655,685,2963,2057,1014,6241
96935,Land Cover,46.44460885,-95.13357771,2019,24,598,844,997,1594,1742,1400,2343,406,776,742,2142,1919,1304,4594,316,717,508,2668,1552,921,6818,599,841,1041,1686,1922,1543,2428,429,738,697,2029,1824,1159,4395,296,628,632,2649,1452,883,6144,422,776,969,1691,2038,1615,2713,359,711,715,2833,1756,1106,6008,258,568,522,2581,1407,812,6292
41463,Land Cover,47.49210118,-94.88929625,2019,24,1966,2133,2147,2132,3032,2898,-29,2517,2846,2909,3177,3859,3881,342,2273,2655,2732,3354,3735,3468,1110,2070,2135,2128,2114,2373,2311,26,2350,2881,2958,2960,4316,4333,324,1949,2190,2119,2676,3140,3074,884,0,0,0,0,0,0,0,2467,2817,2698,3069,4279,4323,408,2177,2431,2484,2546,4135,4071,163
